url_cidade,codigo_cidade,cidade,uf
http://www.cptec.inpe.br/cidades/tempo/4966,4966,SÃO JOSÉ DOS QUATRO MARCOS,MT
http://www.cptec.inpe.br/cidades/tempo/4827,4827,SÃO GABRIEL,RS
http://www.cptec.inpe.br/cidades/tempo/2933,2933,LAMARÃO,BA
http://www.cptec.inpe.br/cidades/tempo/2103,2103,GARUVA,SC
http://www.cptec.inpe.br/cidades/tempo/5278,5278,TABULEIRO,MG
http://www.cptec.inpe.br/cidades/tempo/5829,5829,MARIA BONITA,PA
http://www.cptec.inpe.br/cidades/tempo/347,347,ALECRIM,RS
http://www.cptec.inpe.br/cidades/tempo/2789,2789,JOANÉSIA,MG
http://www.cptec.inpe.br/cidades/tempo/5352,5352,TEIXEIRA DE FREITAS,BA
http://www.cptec.inpe.br/cidades/tempo/4867,4867,SÃO JOÃO D´ALIANÇA,GO
http://www.cptec.inpe.br/cidades/tempo/803,803,BATATAIS,SP
http://www.cptec.inpe.br/cidades/tempo/3563,3563,NOVA RUSSAS,CE
http://www.cptec.inpe.br/cidades/tempo/2107,2107,GAURAMA,RS
http://www.cptec.inpe.br/cidades/tempo/1996,1996,FERNÃO,SP
http://www.cptec.inpe.br/cidades/tempo/5406,5406,TIRADENTES DO SUL,RS
http://www.cptec.inpe.br/cidades/tempo/2018,2018,FLORES DE GOIÁS,GO
http://www.cptec.inpe.br/cidades/tempo/4576,4576,SANTA INÊS,PR
http://www.cptec.inpe.br/cidades/tempo/789,789,BARRO ALTO,BA
http://www.cptec.inpe.br/cidades/tempo/5131,5131,SENADOR FIRMINO,MG
http://www.cptec.inpe.br/cidades/tempo/5765,5765,ROLADOR,RS
http://www.cptec.inpe.br/cidades/tempo/3160,3160,MARILUZ,PR
http://www.cptec.inpe.br/cidades/tempo/2045,2045,FORQUILHINHA,SC
http://www.cptec.inpe.br/cidades/tempo/5318,5318,TAPES,RS
http://www.cptec.inpe.br/cidades/tempo/616,616,AREIAS,SP
http://www.cptec.inpe.br/cidades/tempo/1756,1756,DELTA,MG
http://www.cptec.inpe.br/cidades/tempo/5705,5705,VOTUPORANGA,SP
http://www.cptec.inpe.br/cidades/tempo/1173,1173,CAMPINA DA LAGOA,PR
http://www.cptec.inpe.br/cidades/tempo/939,939,BOMBINHAS,SC
http://www.cptec.inpe.br/cidades/tempo/2118,2118,GENTIO DO OURO,BA
http://www.cptec.inpe.br/cidades/tempo/1891,1891,ENTRE RIOS,SC
http://www.cptec.inpe.br/cidades/tempo/4055,4055,PLANALTINA DO PARANÁ,PR
http://www.cptec.inpe.br/cidades/tempo/1920,1920,ESPINOSA,MG
http://www.cptec.inpe.br/cidades/tempo/2192,2192,GUAÍRA,PR
http://www.cptec.inpe.br/cidades/tempo/506,506,ANTÔNIO DIAS,MG
http://www.cptec.inpe.br/cidades/tempo/5310,5310,TANQUINHO,BA
http://www.cptec.inpe.br/cidades/tempo/2462,2462,IPUMIRIM,SC
http://www.cptec.inpe.br/cidades/tempo/359,359,ALFREDO VASCONCELOS,MG
http://www.cptec.inpe.br/cidades/tempo/5856,5856,MARAJÓ,PR
http://www.cptec.inpe.br/cidades/tempo/2924,2924,LAJEADO GRANDE,SC
http://www.cptec.inpe.br/cidades/tempo/471,471,ANDIRÁ,PR
http://www.cptec.inpe.br/cidades/tempo/2106,2106,GAÚCHA DO NORTE,MT
http://www.cptec.inpe.br/cidades/tempo/2473,2473,IRANDUBA,AM
http://www.cptec.inpe.br/cidades/tempo/2265,2265,HELIODORA,MG
http://www.cptec.inpe.br/cidades/tempo/2931,2931,LAJES PINTADAS,RN
http://www.cptec.inpe.br/cidades/tempo/1076,1076,CACHOEIRA DO ARARI,PA
http://www.cptec.inpe.br/cidades/tempo/3315,3315,MONJOLOS,MG
http://www.cptec.inpe.br/cidades/tempo/812,812,BELA VISTA DE GOIÁS,GO
http://www.cptec.inpe.br/cidades/tempo/1054,1054,CABECEIRAS,GO
http://www.cptec.inpe.br/cidades/tempo/4522,4522,SANTA BÁRBARA DO LESTE,MG
http://www.cptec.inpe.br/cidades/tempo/1689,1689,CRIXÁS,GO
http://www.cptec.inpe.br/cidades/tempo/2431,2431,IPAPORANGA,CE
http://www.cptec.inpe.br/cidades/tempo/2966,2966,LEOPOLDO DE BULHÕES,GO
http://www.cptec.inpe.br/cidades/tempo/4764,4764,SÃO BERNARDO,MA
http://www.cptec.inpe.br/cidades/tempo/1239,1239,CANAVIEIRA,PI
http://www.cptec.inpe.br/cidades/tempo/2622,2622,ITATIM,BA
http://www.cptec.inpe.br/cidades/tempo/3963,3963,PILÃO ARCADO,BA
http://www.cptec.inpe.br/cidades/tempo/3337,3337,MONTE BELO,MG
http://www.cptec.inpe.br/cidades/tempo/4321,4321,RIACHÃO DO POÇO,PB
http://www.cptec.inpe.br/cidades/tempo/2086,2086,FUNILÂNDIA,MG
http://www.cptec.inpe.br/cidades/tempo/5126,5126,SENADOR ALEXANDRE COSTA,MA
http://www.cptec.inpe.br/cidades/tempo/416,416,ÁLVARES FLORENCE,SP
http://www.cptec.inpe.br/cidades/tempo/2297,2297,IBEMA,PR
http://www.cptec.inpe.br/cidades/tempo/2943,2943,LARANJAL DO JARI,AP
http://www.cptec.inpe.br/cidades/tempo/5399,5399,TIMBIRAS,MA
http://www.cptec.inpe.br/cidades/tempo/3252,3252,MIGUELÓPOLIS,SP
http://www.cptec.inpe.br/cidades/tempo/4517,4517,SANTA ALBERTINA,SP
http://www.cptec.inpe.br/cidades/tempo/3448,3448,NAZÁRIO,GO
http://www.cptec.inpe.br/cidades/tempo/2363,2363,IGREJA NOVA,AL
http://www.cptec.inpe.br/cidades/tempo/1356,1356,CARMO DE MINAS,MG
http://www.cptec.inpe.br/cidades/tempo/3345,3345,MONTE FORMOSO,MG
http://www.cptec.inpe.br/cidades/tempo/824,824,BELÉM DO PIAUÍ,PI
http://www.cptec.inpe.br/cidades/tempo/374,374,ALPINÓPOLIS,MG
http://www.cptec.inpe.br/cidades/tempo/5726,5726,ZÉ DOCA,MA
http://www.cptec.inpe.br/cidades/tempo/640,640,ARROIO GRANDE,RS
